id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
49,2024-02-01 14:31:22.214129,1,2024-06-20 02:37:50.924022,1,0,douyu,t4/files/txt,t4/files/txt/douyu.txt,True,49,.txt,,1,0,0,0,True
9,2024-02-01 14:31:22.073461,1,2024-06-20 02:37:48.772393,1,0,两个BT,t4/spiders,t4/spiders/两个BT.py,True,9,.py,{{host}}/files/hipy/两个BT.json,1,1,1,0,True
4,2024-02-01 14:31:22.053370,1,2024-06-20 02:37:48.780568,1,0,base_spider,t4/spiders,t4/spiders/base_spider.py,True,0,.py,,1,1,1,0,False
320,2024-05-25 15:45:01.740150,1,2024-06-20 02:37:50.119963,1,0,iFun,t4/files/drpy_js,t4/files/drpy_js/iFun.js,True,314,.js,,1,1,1,0,True
11,2024-02-01 14:31:22.082471,1,2024-06-20 02:37:48.862135,1,0,喵次元,t4/spiders,t4/spiders/喵次元.py,True,11,.py,,1,1,1,0,True
7,2024-02-01 14:31:22.066253,1,2024-06-20 02:37:48.873618,1,0,test_1,t4/spiders,t4/spiders/test_1.txt,True,9999,.txt,,1,0,0,0,True
40,2024-02-01 14:31:22.179776,1,2024-06-20 02:37:50.535190,1,0,mod,t4/files/drpy_libs,t4/files/drpy_libs/mod.js,True,40,.js,,1,0,0,0,True
267,2024-05-15 06:21:15.245255,1,2024-06-20 02:37:48.879504,1,0,思古影视[V2],t4/files/drpy_js,t4/files/drpy_js/思古影视[V2].js,True,261,.js,,1,1,1,0,True
44,2024-02-01 14:31:22.194524,1,2024-06-20 02:37:50.499045,1,0,模板,t4/files/drpy_libs,t4/files/drpy_libs/模板.js,True,44,.js,,1,0,0,0,True
283,2024-05-16 08:22:11.800032,1,2024-06-20 02:37:49.113339,1,0,星云影视,t4/files/drpy_js,t4/files/drpy_js/星云影视.js,True,277,.js,,1,1,0,0,True
42,2024-02-01 14:31:22.187826,1,2024-06-20 02:37:50.666100,1,0,searchFilter,t4/files/drpy_libs,t4/files/drpy_libs/searchFilter.js,True,42,.js,,1,0,0,0,True
38,2024-02-01 14:31:22.174162,1,2024-06-20 02:37:50.505830,1,0,gbk,t4/files/drpy_libs,t4/files/drpy_libs/gbk.js,True,38,.js,,1,0,0,0,True
34,2024-02-01 14:31:22.161255,1,2024-06-20 02:37:50.513398,1,0,drpy2.min,t4/files/drpy_libs,t4/files/drpy_libs/drpy2.min.js,True,34,.js,,1,0,0,0,True
319,2024-05-25 15:45:01.602023,1,2024-06-20 02:37:49.815897,1,0,看客影院,t4/files/drpy_js,t4/files/drpy_js/看客影院.js,True,313,.js,,1,1,0,0,True
279,2024-05-16 08:22:11.695928,1,2024-06-20 02:37:48.885784,1,0,看看影视,t4/files/drpy_js,t4/files/drpy_js/看看影视.js,True,273,.js,,1,1,0,0,True
36,2024-02-01 14:31:22.167772,1,2024-06-20 02:37:50.619487,1,0,es6py,t4/files/drpy_libs,t4/files/drpy_libs/es6py.js,True,36,.js,,1,0,0,0,True
43,2024-02-01 14:31:22.191456,1,2024-06-20 02:37:50.690371,1,0,sortName,t4/files/drpy_libs,t4/files/drpy_libs/sortName.js,True,43,.js,,1,0,0,0,True
54,2024-02-02 15:59:25.736026,1,2024-06-20 02:37:49.858081,1,0,在线之家,t4/files/drpy_js,t4/files/drpy_js/在线之家.js,True,54,.js,,1,1,1,0,True
362,2024-06-08 01:52:31.762835,1,2024-06-20 02:37:49.609146,1,0,黑料不打烊-z,t4/files/drpy_js,t4/files/drpy_js/黑料不打烊-z.js,True,356,.js,,1,1,1,0,True
287,2024-05-16 08:22:12.153112,1,2024-06-20 02:37:50.014197,1,0,快看影视,t4/files/drpy_js,t4/files/drpy_js/快看影视.js,True,281,.js,,1,1,0,0,True
3,2024-02-01 14:31:22.048522,1,2024-06-20 02:37:48.840916,1,0,base_spider,t4/spiders,t4/spiders/base_spider.json,True,9999,.json,,1,0,0,0,True
31,2024-02-01 14:31:22.150591,1,2024-06-20 02:37:50.527509,1,0,crypto-js,t4/files/drpy_libs,t4/files/drpy_libs/crypto-js.js,True,31,.js,,1,0,0,0,True
37,2024-02-01 14:31:22.171107,1,2024-06-20 02:37:50.547426,1,0,exRegExp,t4/files/drpy_libs,t4/files/drpy_libs/exRegExp.js,True,37,.js,,1,0,0,0,True
27,2024-02-01 14:31:22.138315,1,2024-06-20 02:37:50.563020,1,0,atob,t4/files/drpy_libs,t4/files/drpy_libs/atob.js,True,27,.js,,1,0,0,0,True
64,2024-02-05 09:48:57.436728,1,2024-06-20 02:37:50.571909,1,0,qjs_env,t4/files/drpy_libs,t4/files/drpy_libs/qjs_env.js,True,64,.js,,1,0,0,0,True
33,2024-02-01 14:31:22.158067,1,2024-06-20 02:37:50.612838,1,0,drpy2,t4/files/drpy_libs,t4/files/drpy_libs/drpy2.js,True,33,.js,,1,0,0,0,True
39,2024-02-01 14:31:22.177056,1,2024-06-20 02:37:50.626457,1,0,live2cms,t4/files/drpy_libs,t4/files/drpy_libs/live2cms.js,True,39,.js,,1,0,0,0,True
29,2024-02-01 14:31:22.144645,1,2024-06-20 02:37:50.682747,1,0,cheerio.min,t4/files/drpy_libs,t4/files/drpy_libs/cheerio.min.js,True,29,.js,,1,0,0,0,True
35,2024-02-01 14:31:22.164177,1,2024-06-20 02:37:50.699245,1,0,drT,t4/files/drpy_libs,t4/files/drpy_libs/drT.js,True,35,.js,,1,0,0,0,True
14,2024-02-01 14:31:22.093364,1,2024-06-20 02:37:48.802785,1,0,樱花动漫,t4/spiders,t4/spiders/樱花动漫.py,True,14,.py,https://jihulab.com/qiaoji/open/-/raw/main/yinghua,1,1,1,0,True
8,2024-02-01 14:31:22.069500,1,2024-06-20 02:37:48.814645,1,0,两个BT,t4/spiders,t4/spiders/两个BT.json,True,9999,.json,,1,0,0,0,True
285,2024-05-16 08:22:11.907660,1,2024-06-20 02:37:49.332711,1,0,孜然影视,t4/files/drpy_js,t4/files/drpy_js/孜然影视.js,True,279,.js,,1,1,0,0,True
344,2024-05-30 18:55:04.441384,1,2024-06-20 02:37:49.392189,1,0,易搜[搜],t4/files/drpy_js,t4/files/drpy_js/易搜[搜].js,True,338,.js,,1,1,0,0,True
30,2024-02-01 14:31:22.147509,1,2024-06-20 02:37:50.675170,1,0,crypto-hiker,t4/files/drpy_libs,t4/files/drpy_libs/crypto-hiker.js,True,30,.js,,1,0,0,0,True
12,2024-02-01 14:31:22.085792,1,2024-06-20 02:37:48.827551,1,0,新浪资源,t4/spiders,t4/spiders/新浪资源.py,True,12,.py,,1,1,1,0,True
13,2024-02-01 14:31:22.089587,1,2024-06-20 02:37:48.833811,1,0,樱花动漫,t4/spiders,t4/spiders/樱花动漫.json,True,9999,.json,,1,0,0,0,True
6,2024-02-01 14:31:22.061431,1,2024-06-20 02:37:48.855795,1,0,cntv央视,t4/spiders,t4/spiders/cntv央视.py,True,0,.py,{{host}}/files/hipy/cntv央视.json,1,1,1,0,True
332,2024-05-28 03:41:22.842135,1,2024-06-20 02:37:48.956085,1,0,爱看hd,t4/files/drpy_js,t4/files/drpy_js/爱看hd.js,True,326,.js,,1,1,0,0,True
25,2024-02-01 14:31:22.131846,1,2024-06-20 02:37:50.519809,1,0,alist,t4/files/drpy_libs,t4/files/drpy_libs/alist.js,True,25,.js,,1,0,0,0,True
28,2024-02-01 14:31:22.141613,1,2024-06-20 02:37:50.706825,1,0,base64,t4/files/drpy_libs,t4/files/drpy_libs/base64.js,True,28,.js,,1,0,0,0,True
45,2024-02-01 14:31:22.197684,1,2024-06-20 02:37:50.760072,1,0,alist,t4/files/json,t4/files/json/alist.json,True,45,.json,,1,0,0,0,True
41,2024-02-01 14:31:22.183051,1,2024-06-20 02:37:50.722157,1,0,rsa,t4/files/drpy_libs,t4/files/drpy_libs/rsa.js,True,41,.js,,1,0,0,0,True
50,2024-02-01 14:31:22.217894,1,2024-06-20 02:37:50.945734,1,0,huya,t4/files/txt,t4/files/txt/huya.txt,True,50,.txt,,1,0,0,0,True
354,2024-06-05 15:25:08.439074,1,2024-06-20 02:37:49.149529,1,0,番茄小说[书],t4/files/drpy_js,t4/files/drpy_js/番茄小说[书].js,True,348,.js,,1,1,1,0,True
318,2024-05-25 15:45:01.302243,1,2024-06-20 02:37:49.339452,1,0,黑木耳资源[资],t4/files/drpy_js,t4/files/drpy_js/黑木耳资源[资].js,True,312,.js,,1,1,0,1,True
91,2024-03-10 11:22:54.431043,1,2024-06-20 02:37:51.208397,1,0,alist,t4/files/drpy3_js,t4/files/drpy3_js/alist.json,True,85,.json,,1,0,0,0,True
76,2024-02-20 16:25:29.526731,1,2024-06-20 02:37:50.930605,1,0,tv,t4/files/txt,t4/files/txt/tv.txt,True,70,.txt,,1,0,0,0,True
47,2024-02-01 14:31:22.206951,1,2024-06-20 02:37:50.917779,1,0,config,t4/files/txt,t4/files/txt/config.txt,True,47,.txt,,1,0,0,0,True
78,2024-03-08 15:53:21.065726,1,2024-06-20 02:37:51.120718,1,0,cheerio.min,t4/files/drpy3_libs,t4/files/drpy3_libs/cheerio.min.js,True,72,.js,,1,0,0,0,True
119,2024-03-10 11:22:54.566374,1,2024-06-20 02:37:51.244408,1,0,yyets,t4/files/drpy3_js,t4/files/drpy3_js/yyets.js,True,113,.js,,1,0,0,0,True
122,2024-03-10 11:22:54.581446,1,2024-06-20 02:37:51.256164,1,0,吸瓜,t4/files/drpy3_js,t4/files/drpy3_js/吸瓜.js,True,116,.js,,1,0,0,0,True
98,2024-03-10 11:22:54.466196,1,2024-06-20 02:37:51.262924,1,0,funletu,t4/files/drpy3_js,t4/files/drpy3_js/funletu.js,True,92,.js,,1,0,0,0,True
67,2024-02-05 09:56:10.488387,1,2024-06-20 02:37:51.042196,1,0,哔哩,t4/files/js_parse_api,t4/files/js_parse_api/哔哩.js,True,67,.js,,1,0,0,0,True
125,2024-03-19 11:00:53.115130,1,2024-06-20 02:37:51.060465,1,0,drpy3.hiker,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.hiker.js,True,119,.js,,1,0,0,0,True
